Current Position Requirements,Current Position,Alternative 1,Alternative 2
"University Degree in Finance; Managerial, organizational and decision making skills; Excellent knowledge of Armenian, English and Spanish languages is desirable; Ability to work in team; Ability to communicate; Ability to work with confidential information; At least 5 years of work experience, preferably in Construction Industry.",Accountant,Chief Accountant,Sales Manager
"University degree in the relevant sphere; At least three years of relevant work experience; Strong analytical, organization, communication skills; Advanced computer skills; Fluency in Armenian and Russian languages, good command of English; Open to new ideas, taking on new responsibilities, handling pressure.",Marketing Manager,Administrative Assistant,Sales Manager
3+ years of experience in development of software products on Windows OS; Strong C++ programming skills; Knowledge of Linux and QT; Good knowledge of English language; Good communication skills.,Software Engineer,Software Developer,Sales Manager
"Higher/not completed higher education; Good knowledge of .Net technology, relationship database architecture, SQL database, C#; Knowledge of Delphi 6, 7 is preferred; Knowledge of English language; Work experience is preferred.",Software Developer,Web Developer,Java Developer
nan,English Language Courses,Project Manager,Administrative Assistant
"University degree in IT; Strong technical skills in PHP (OOP), Drupal, HTML, CSS, JS, DB (My SQL), Selenium; Experience in a relevant online business is highly preferable; Experience with CMS coding, especially Drupal and Wordpress is a plus; Experience in server administration and development in teams; Good oral and written communication skills; fluency in English language; Ambitious and autonomous worker; fast learner; Logical and analytical-oriented personality.",PHP Developer,Software Developer,Web Developer
"University degree in technical sciences; At least 1 years of work experience in software development; Good knowledge of PHP, ASP, JAVA; Good knowledge and experience of principles of OOP; Good knowledge of the flesh technologies; English language skills.",Web Developer,Software Developer,PHP Developer
"Relevant degree in economics or accounting; Knowledge of Armenian Accounting Standards; At least 1 year of work experience; ACCA student is a plus; Knowledge of Armenian,  Russian and  English languages.",Accountant,Chief Accountant,Sales Manager
University degree in Accounting/ Finance; At least 4 years of relevant professional work experience; Excellent knowledge of RA tax legislation; Profound knowledge of 1C Accounting Software (recent version) and MS Excel; Fluency in Armenian and Russian languages. Good knowledge of English; Ability to work under pressure and meet deadlines; Good interpersonal skills; Good team player.,Chief Accountant,Accountant,Lawyer
"Higher education diploma; At least two years of professional experience, preferably in international organizations; Excellent oral and written communication skills in Armenian and English languages;  Proficiency in computer (MS Office and Internet); Excellent interpersonal and organizational skills; Ability to work in a team as well as independently.",Administrative Assistant,Office Manager,Lawyer
Degree in Accounting;  5 to 7 years of relevant work experience; Knowledge of auditing and internal control practices and principles; Good knowledge of Armenian statutory accounting principles; Excellent knowledge of English language (both written and spoken); knowledge of Russian & Armenian languages; Knowledge of accounting software 1C; Highly proficient in MS Office applications.,Accountant,Chief Accountant,Office Manager
"Degree in Computer Science, Information Technology or related discipline (Bachelor's Degree in the relevant field required, Master's Degree preferred);  At least 3 years of successful experience in software development; Extensive development experience with current industry technologies including Java, SQL, etc. and related tools. Working experience with and design of complex database systems (stored procedures); Experience in J2EE development (JSP/Servlets); Knowledge of one of programming languages (C++/Visual C++; VB); Knowledge of HTML/XML, ASP/PHP. Additional Characteristics: Ability to work under pressure and in multi-task environment;  Ability to work in a team while being self-directed and highly motivated;  Excellent analytical and problem-solving skills and attention to detail; Excellent interpersonal and organizational skills; Fluency in English.",Software Developer,Java Developer,Web Developer
"Experience in developing and debugging enterprise applications in various software languages, including: Python, Shell, Java, JavaScript, J2EE; as well as System Integrations; Knowledge of Object Oriented Design and Analysis; Industry technology familiarity and frameworks, encompassing SQL, JSON, REST; Performance tuning and profiling expertise is desirable; Component framework and modern application container knowledge is a plus; Agile Software Development experience is a plus.",Software Engineer,Java Developer,Software Developer
"B.S. in Computer Science; Excellent knowledge of (X)HTML, CSS, JavaScript (AJAX, jQuery) and XML; Knowledge of MS SQL database (creating databases, writing queries); Problem solving skills; Good communication skills; Good team player, ability to accept criticism.",Web Developer,Java Developer,Software Developer
"Excellent knowledge of JAVA, PHP, MySQL's SQL, JavaScript, DOM-API, XML; Work experience with Apache Web server, Unix/FreeBSD/Linux; Experience in UI design and front-end development will be an advantage; Source management with CVS will be an advantage; Work experience with Eclipse development environment will be an advantage; Willingness to learn new programming languages and technologies; Good knowledge of technical English language; Punctuality and accuracy in work, ability to work efficiently with minimal supervision; Motivated, energetic personality, flexible, willingness to increase competencies and professionalism; Creativity and team spirit.",Software Developer,Java Developer,Web Developer
"Bachelor's/ Masters degree in Computer Sciences or a related field; 3 years of experience in developing Java web-based applications; Good Java and Spring/ Spring MVC development experience in a project setting; Experience with JSP, AJAX, JQuery and JavaScript; Experience with XML, HTML and CSS; experience with cross-browser compatibility; Experience with relational databases (such as MS SQL Server, MySQL); Experience in data model and object design; Good understanding of OOP principles; Good analytical skills; Strong knowledge of the English language both communication and technical level; Excellent communication and team-working skills; Ability to work independently.",Java Developer,Web Developer,Software Developer
"University degree preferably in Marketing or a related industry; At least 2 years of experience in Marketing and Project Management; Solid knowledge of Marketing, Business Administration and Communications; Strong creative, strategic, analytical, organizational and sales skills; Ability to meet deadlines or targets;  Reporting and business writing skills;  Creative thinking and initiative personality; Excellent communication skills and ability to work both individually and in a team; Experience overseeing the design and production of print materials and publications; Conflict resolution skills;  Sense of responsibility and accurateness;  Solid computer skills, including Microsoft Office; Excellent knowledge of English and Russian languages on both communication and technical levels.",Marketing Specialist,Marketing Manager,Sales Manager
"BS/ MS in Computer Science or Information Systems Management; At least 5 years of experience in System Administration; Hand-on experience in RHEL 6 installation, update and maintenance; Working knowledge of installation of Appache tomcat and Firewall; Work experience with implementation of: a) Network services (DNS, DHCP, Proxy, Mail, LDAP); b) NAGIOS; c) MRTG, RRD; d) vSphere 5.x; Proficiency in installation and configuration of Windows Server 2008 R2 (Kaspersky Antivirus Server); Ability to learn new technologies with minimum supervision; Strong communication skills with the ability to communicate technical information effectively; Ability to work for extended hours and willingness to travel; Fluency in the English language.",System Administrator,Software Developer,Java Developer
"Work experience as an Accountant (at least 1 year); Good knowledge of Armenian accounting standards and related legislation; Fluent operation with accounting transactions (debit, credit); Skills in working with Armenian Software; Knowledge of English language is preferred.",Accountant,Chief Accountant,Lawyer
"At least 3 years of work experience as a Software Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Web development; Web Frameworks: Struts, JSP/ Servlet and Java Server Faces and Wicket; Persistence layer: Hibernate and IBATIS; Integration technologies: Spring Framework; Databases: base knowledge with MySQL and Oracle databases; Excellent knowledge of SQL language (writing queries, creating databases, dumping, and importing without a graphical user interface); Database modeling skills; Good knowledge of (X)HTML, CSS, JavaScript and XML; Optional technologies: Velocity, Jasper Reports and Facelets; Servers: Tomcat and Apache2; OS: Linux Ubuntu; Good communication skills; Good English language skills; Ability to work on project with a development team; Ability to lead a small development team is a plus; Ability/ willingness for business trips is a plus; Problem solving skills.",Java Developer,Software Developer,Web Developer
"Bachelors degree in Computer Sciences or a related discipline; higher degree is a plus; Experience in software development: C#, Visual Basic, PHP and SOAP; Database development: ADO.NET, MS SQL Server 2008R2, T-SQL and MySQL; 1 year of professional work experience; Knowledge of English and Russian languages;  Good knowledge of the concepts and characteristic features of Object Oriented Programming; Algorithmic knowledge, problem solving and analytical skills; Self-motivated, passionate and adaptable personality; Ability to work efficiently with minimal supervision.",Software Developer,Java Developer,Web Developer
"University degree in law; 3-5 years of work experience in legal field; Thorough knowledge of the Armenian legal system, laws and regulations in general, with the emphasis on company law; Excellent knowledge of financial and labor sectors laws and regulation of RA; Strong interpersonal, organization and communication skills;  Ability to work well under pressure; Ability to work independently; Result oriented personality, self motivated and self reliable with high ethical standards; Fluent in Armenian, Russian and English (spoken and written);  Working knowledge of Microsoft Office.",Lawyer,Chief Accountant,Administrative Assistant
"Bachelor's degree in Economics; Relevant work experience, experience in an exporting company is a plus; Strong attention to detail and ability to handle multiple tasks simultaneously; Knowledge of Microsoft Office;  Experience with 1C is a plus; Well organized, but flexible to changing priorities; Comfortable working with different team both locally and remotely; Knowledge of English and Russian languages.",Administrative Assistant,Accountant,Lawyer
"University degree in Accounting or Finance; At least 2 years of professional experience; Knowledge of the accounting, tax and financial legislation; Knowledge of the AS accounting software (Armenian Software); Analytical thinking skills; Ability to work in a team; Ability to work under pressure; Ability to quickly and accurately navigate in difficult situations; Team working skills; Responsibility, punctuality and attention to detail; Good communication skills and flexibility; Advanced computer skills: knowledge of MS Office, especially Excel and Word; Fluency in the Armenian, Russian languages; proficiency in other modern languages will be viewed as an advantage.",Chief Accountant,Accountant,Lawyer
"University degree in Law; At least 2 years of relevant work experience; Excellent communication and interpersonal skills and ability to work with a variety of constituencies; Fluency in both written and oral English, Armenian and Russian languages.",Lawyer,Administrative Assistant,Sales Manager
"At least 3 years of experience as a Chief Accountant; Computer skills (MS Excel, MS Word, AS Accountant);  Excellent knowledge of Tax Laws/ Labour Legislation;  Analytical skills, attention to details;  Good knowledge of Russian and English languages;  Ability to work under pressure on multiple tasks and within deadlines; Strong organizational and decision-making skills;  Strong interpersonal skills and professional ethics;  Accounting or auditing qualification (designation) is a plus.",Chief Accountant,Accountant,Administrative Assistant
nan,English Language Courses,Project Manager,Administrative Assistant
"University degree; Fluency in Armenian, English and Russian languages; 2 years of work experience.",Sales Manager,Medical Representative,Accountant
"University degree; Perfect knowledge of Armenian and English languages, both spoken and written (this is a priority);  Proficiency of Russian and French  languages is a plus;  Good organizational, team working, multi-tasking and communication skills; Motivated, quality and detail oriented, open minded person;  Full Computer literacy including knowledge of all Microsoft Office (in particular Excel) programs and Internet; Active social media user experience is desirable;       Knowledge of the design software's (Corel Draw, Adobe Photoshop and Illustrator, etc.) is preferable.",Office Manager,Graphic Designer,Accountant
"Higher education in the associated field is preferable; At least 3 years of work experience as a Graphic Designer; Knowledge of Adobe Photoshop, Adobe Illustrator, Corel Draw; Knowledge of foreign languages; Ability to work in a team.",Graphic Designer,Sales Manager,Lawyer
"At least 3 years of experience as a PHP Developer; Expert skills in PHP, MYSQL, HTML, CSS; Skills in AJAX and JavaScript is a plus; Ability to learn quickly and to work under pressure; Problem solving skills; Knowledge of technical English language.",PHP Developer,Web Developer,Java Developer
"University degree in the field of Economics; Experience in a relevant field is desirable; Knowledge of the accounting legislation; Knowledge of accounting programs (Armenian Software or 1C is preferable); Analytical thinking; Business writing skills; Ability to quickly and accurately orient skills in difficult situations;  Communication skills, flexibility and ability to work in a team; Initiative and openness to changes;  Responsibility, punctuality and attentiveness; Advanced computer skills: knowledge of MS Office: namely Excel; Fluency in Armenian and Russian languages, knowledge of English language is a plus.",Accountant,Chief Accountant,Sales Manager
"At least 2 years of experience in finance and/or accounting area; Excellent knowledge of Accounting Standards of Republic of Armenia and other accounting legal acts and the Labor Code of RA; Computer literacy (MS Office); Basic knowledge of English language; Interpersonal and communication skills, good team player.",Accountant,Chief Accountant,Lawyer
Business or marketing-related degree or equivalent professional qualification (MBA with specialization in Marketing is preferable); Experience in all aspects of developing and managing marketing strategies; Proven experience in customer and market research; Relevant knowledge in retail industry.,Marketing Specialist,Marketing Manager,Sales Manager
"University degree in Medicine; Excellent interpersonal, communication and negotiation skills; Ability to quickly learn and effectively introduce information about new drugs; As needed, ability to demonstrate creativity, problem solving and analytic set of mind; Ability to work independently as well as in a team; Understand and utilize scientific and medical data, take initiative, analyze problems and suggest solutions; A marketing background is plus (either through education or through sales); Enthusiasm, accuracy and a flexible attitude; Ability to work within strict deadlines; Serious interest in career advancement through organizational layers; Excellent knowledge of Russian language, knowledge of English is a plus; Knowledge of principles of evidence based medicine; Knowledge of PC (MS office package).",Medical Representative,Marketing Specialist,Sales Manager
"University degree in Accounting or Finance; Minimum 3 years of experience in accounting field; Good Knowledge of Armenian Accounting (ArmSoftware); Knowledge of Tax laws and regulations; Knowledge of Accounting Standards of RA;  Knowledge of MS Office (MS Word, MS Excel and Internet).",Accountant,Chief Accountant,Lawyer
"Engineering degree (preferably in Computer Science); 2+ years of work experience in QA/Software Testing; Advanced knowledge of system development lifecycle, methodology and testing knowledge; Advanced knowledge of the quality assurance techniques, testing concepts, methodologies and tools; Expert ability to apply quality assurance knowledge to in-depth testing and test plans; Excellent analytical skills with the ability to investigate and research multiple sources; Ability to adapt and learn quickly with any testing tool; Ability to perform and maintain test cases; Ability to perform manual testing; Solid knowledge of bug tracking systems; Exposure to both client-server and web-based application testing will be an added advantage; Experience in testing AJAX, PHP and desk applications is a plus; Understanding of basic database concepts; Good knowledge of English and Russian languages both communication and technical level; Team player.",QA Engineer,Software Developer,Project Manager
"Advanced degree in Accounting or Masters in Business Administration with a focus on accounting or the equivalent from the recognized institution. Professional experience in an accounting position with managerial responsibilities. Strong English, Russian and Armenian language skills  oral and written. Ability to maintain confidentiality. Excellent organizational skills including strong attention to details. Strong ability to analyze and provide in-depth report with reliable and valid information. Strong knowledge of word processing, spreadsheets, database and electronic mail software. Ability to produce accurate documents in a well-designed and attractive format. Excellent interpersonal skills with the ability to work cooperatively, tactfully and diplomatically with a culturally diverse group of people. Ability to foster and maintain a spirit of unity, teamwork and cooperation. Sensitivity in working with multiple cultures and beliefs, and to gender equity.",Chief Accountant,Administrative Assistant,Accountant
"BS or BA with 0  2 years of relevant experience; Ability to accept all projects and instructions in English language and demonstrated ability to work independently on projects  meeting all deadlines set by the Creative Services manager; Detail oriented and be able to multi-task, as well as solve problems analytically.",Graphic Designer,Project Manager,Accountant
nan,English Language Courses,Project Manager,Administrative Assistant
"At least 2 years of work experience in web development; Good knowledge of HTML, CSS, PHP/MySQL and JavaScript;                 Knowledge and experience in Open Source systems and applications is a plus (downloading, installation, modifying, adjustment, maintenance);  Experience in template based web sites creation/ adaptation is a plus; Experience in Adobe Photoshop and Corel Draw; Very good knowledge of English language; Highly motivated and easygoing personality with strong readiness to work; Good team player.",Web Developer,Java Developer,Graphic Designer
"Higher education; More than 3-year prior work experience in the relevant field; Good knowledge of Armenian, Russian and English languages; Strong problem-solving skills; Excellent communication and presentation skills; Ability to work under pressure and within strict time frames; Good team player; High sense of responsibility and commitment; Strong character, sharp, goal oriented person with ability to sell; Well-organized, responsible and result-oriented personality; Availability of a valid driving license is a plus.",Sales Manager,Medical Representative,Administrative Assistant
"University degree in Medicine; Excellent interpersonal, communication and negotiation skills; Ability to quickly learn and effectively introduce information about new drugs; As needed, ability to demonstrate creativity, problem solving and analytic set of mind; Ability to work independently as well as in a team; Understand and utilize scientific and medical data, take initiative, analyze problems and suggest solutions; A marketing background is plus (either through education or through sales); Enthusiasm, accuracy and a flexible attitude; Ability to work within strict deadlines; Serious interest in career advancement through organizational layers; Excellent knowledge of Russian language, knowledge of English is a plus; Knowledge of principles of evidence based medicine; Knowledge of PC (MS office package).",Medical Representative,Marketing Specialist,Sales Manager
"Relevant higher education; At least 3 years of relevant professional experience; Experience with HP Blade servers, virtual arrays, MSLs; Experience with administering and configuring SANs; Strong knowledge of Active Directory, Hyper-V, Exchange, Forefront TMG technologies and concepts; Good knowledge of Microsoft Windows Server operating systems family; Good knowledge of and ability to implement Terminal Services; Good knowledge of and experience in working with FSRM, DNS, DHCP; Familiarity with Linux family operating systems, ability to implement and administer NAMED, SQUID, IPTABLES; Good knowledge of Armenian, English, and Russian languages.",System Administrator,Software Developer,Java Developer
"At least 3 years of work experience as a Java Software Developer; English language proficiency in both written and verbal communications; Knowledge of Java 7, Spring Framework, Hibernate, JMS, SQL, Unix OS, shell scripting and command-line; Knowledge of Wicket is desirable or preparedness to learn it; Critical thinking skills and love for solving problems; Good communication skills; Patience, persistence and technical curiosity; Positive attitude for the Company's collegial, collaborative work environment; Experience with eCommerce and/ or order fulfillment systems is a privilege.",Java Developer,Software Developer,Administrative Assistant
"At least 2 years of relevant work experience; Advanced knowledge of graphic software (Corel Draw, Adobe Photoshop, etc.); Understanding of Flash animation for the web is highly desired; Oral and written communication skills in Armenian language. Good knowledge of English and Russian languages is a plus;  Ability to work under pressure and meet strict deadlines;  Self-motivated conceptual thinker with strong sense of typography and graphic design;  Communicative personality;  Ability to work in a team.",Graphic Designer,Sales Manager,Accountant
"Bachelor's degree in Accounting; Strong working knowledge of Armenian Tax Laws; Working knowledge of IFRS accounting practices; Knowledge of U.S. GAAP will be a big plus; Fluency in English language, both spoken and written (interviews will be conducted in English and Armenian languages); Ability to prepare all reports and documents in English language; Working knowledge of Armenian accounting software; At least 3 years of work experience; Ability to occasionally work under pressure and deadlines; Proficiency in Microsoft Office Suite; Strong spreadsheet and analytical skills; Ability to implement a new accounting system; Good sense of business judgment and creative problem solving; Detail oriented; Ability to multitask.",Accountant,Chief Accountant,Lawyer
"BS in Computer Science or any related Technical field; At least 6 years of experience in object-oriented design and development in Java; At least 6 years of experience in JEE Application Server; WebSphere and/ or JBOSS experience is preferred; At least 6 years of experience in JEE technologies and framework (Spring, JSF2 preferable) Hibernate, Websphere Application; Server (WAS), JMS/ Websphere MQ, Oracle AQ, Oracle 11g and support integration with other applications via APIs(SOAP/ REST); Experience in SOA, SOAP, REST WSDL, XML, cloud and API standards; At least 6 years of experience in design and development of high performance messaging and transaction processing systems; Strong knowledge of architectural principles, frameworks and best practices; Technical leadership and mentoring skills to guide and act as Lead Developer; Good knowledge or Russian and English languages is an asset.",Java Developer,Software Developer,Web Developer
nan,English Language Courses,Project Manager,Administrative Assistant
"Higher education in a relevant field; At least 2 years of experience working in a QA role, ideally working within mobile app environment; Real passion and knowledge for latest developments of mobile platforms and technologies;   High attention to detail for finding/ reporting bugs; Experience with bug tracking tools, such as Jira; Knowledge of different testing and development processes, i.e. functional testing, performance testing, specification-based testing, smoke testing, etc.; Self-starter who is highly organized, hands-on and a team player; Excellent verbal and written communication skills; Knowledge of English language; Experience of creating effective test cases; Ability to adapt to new priorities and challenges and willing to learn new technology;    Ability to work/ communicate with different disciplines (tech as well as non-tech); Willingness to do mainly manual testing but with possibilities to do automation testing; Automation testing knowledge is desirable.",QA Engineer,Software Developer,Administrative Assistant
"Professional work experience in projects as a Java Developer in J2EE using any of the following products: Spring, Apache Wicket, Struts, Hibernate, Elasticsearch, ActiveMQ, GWT; Good understanding of OOP programming principles and design patterns; Proven ability to work under stress in emergencies, with the flexibility to handle multiple high-pressure situations simultaneously; Work experience in Oracle and MySQL or other RDBMS; Good knowledge of English language; Knowledge in TDD principles is a plus; Open, proactive and innovative personality; Work experience in agile/ scrum projects is a plus.",Java Developer,Project Manager,Software Developer
"Relevant degree and experience in Accounting; Education/ experience must include bank reconciliations, journal writing, general ledger, financial statements, and government tax reports;  Knowledge of accounting theory and financial analysis;  Experience in financial reporting is preferred;  Good computer skills; Good communication skills in English language;  Honesty and commitment to World Vision principles.",Accountant,Chief Accountant,Administrative Assistant
"Higher education; MBA is preferable; At least 3 years of work experience in finance field, and experience in banking sphere; Knowledge of accounting software; Knowledge of accounting, taxation, labor legislation and accounting standards.",Chief Accountant,Accountant,Lawyer
"Degree in Finance or Accounting; At least 3 years of experience in senior accounting positions, preferably in an international setting; Strong knowledge of the Armenian tax and customs legislation and accounting standards; Proficiency in the English, Russian and Armenian languages; Knowledge of 1C 8.2 software; ACCA, CFA qualifications will be an advantage.",Chief Accountant,Accountant,Administrative Assistant
"University degree in law; Proficiency in Armenian, Russian and English languages; Excellent computer skills (Microsoft office); Well organized personality; Flexible; Reliable; Good communication skills; Good negotiation skills; Ability to work under pressure; High sense of responsibility.",Lawyer,Administrative Assistant,Sales Manager
"Higher education, preferably in Accounting/ Finance/ Economics; At least two years of experience as an Accountant or similar position with reporting to local regulatory authorities including Tax, Social Security, Ministry of Finance, or Central Bank; Basic knowledge of IAS/GAAP and financial sector accounting; Availability of Qualification Certificate from Ministry of Finance is a plus; Experience in the Insurance field is a plus; Acquaintance with accounting software programs (knowledge of ArmSoftware is preferred); Good knowledge of English and Russian languages; Ability to handle confidential issues; Ability to work under pressure and within deadlines.",Accountant,Chief Accountant,Sales Manager
"Minimum three years of experience in a similar position in terms of the job tasks and responsibilities outlined above; Proven ability to handle multiple tasks simultaneously; Academic training in business, accounting, regional area studies or a related field resulting in a recognized undergraduate degree; Native or near-native fluency in English; Advanced skills in using word processing and spreadsheet programs, as well as electronic communications programs; Strong interpersonal skills (e.g., tact, diplomacy and patience) in the context of dealing with expatriate and Armenian staff members, as well as with general business community and GOA agency representatives; Strong verbal communication skills and pleasant telephone voice, pleasant and professional manners receiving and announcing visitors; Demonstrated initiative and self-motivation in handling all assigned tasks. Only minimal supervision should be required.",Administrative Assistant,Accountant,Project Manager
"Bachelor's or Master's degree in Computer Science; 3+ years of experience in Java Development; Working knowledge and experience with Struts 2, Spring, Tapestry, Grails, Rails, Groovy, JSF 2, Seam, Jboss and Web Services; Fluency in English language (both writing and speaking); Ability to travel abroad if required.",Java Developer,Software Developer,Web Developer
"Bachelors degree in Computer Sciences or a related discipline; higher degree is a plus; Experience in software development: C#, Visual Basic, PHP and SOAP; Database development experience: ADO.NET, MS SQL Server 2008R2, T-SQL and MySQL; 2 years of professional work experience; Knowledge of English and Russian languages;  Good knowledge of the concepts and characteristic features of Object-Oriented Programming; Algorithmic knowledge, problem-solving and analytical skills; Self-motivated, passionate and adaptable personality; Ability to work efficiently with minimal supervision.",Software Developer,Web Developer,Java Developer
"University degree in Medicine or Pharmacy; At least 2 years of relevant work experience; Fluency in Russian language; good knowledge of English language;  Proficiency in MS Office (excellence in Power Point); Advanced Internet user; active in social networks; Excellent communication skills; Activity and ability to listen; High sense of responsibility; Strong interpersonal, motivation and organizational skills.",Medical Representative,Administrative Assistant,Sales Manager
nan,English Language Courses,Project Manager,Administrative Assistant
nan,English Language Courses,Project Manager,Administrative Assistant
"Higher Medical or Pharmaceutical education; Excellent communication skills in Armenian and Russian languages;  Knowledge of English language is preferred; Computer literacy: MS Office package; Excellent presentation, communication and interpersonal skills;  Availability of a driver's license is desirable.",Medical Representative,Sales Manager,Administrative Assistant
"Ability to successfully organize, prioritize and manage every single action; Be responsible for growing account portfolio for Agency; Effective problem-solving skills, specifically the ability to assess situations, evaluate options, make decisions; Excellent communicational skills; Higher education; Fluent knowledge of English and Russian languages; Good computer skills.",Sales Manager,Administrative Assistant,Office Manager
"University degree in Computer Science or in a related field; At least 3 years of experience in system administration (desirably, in finance); Excellent knowledge of MS Windows 7, MS Active Directory, GPO, File Server, MS Exchange 2010/ 2013, MS System Center 2012, MS SQL Server 2008/ 2012, VMware ESXi, TCP/ IP, DNS, DHCP; Knowledge of Terminal Server, MS WSUS Server, Corporate Antivirus System (Kaspersky Kit, MS Endpoint Protection), Veeam Backup 7.0, Linux Skills (Debian, CentOS), Asterisk, Elatix administration, FTP, VPN; Fluency in the Armenian and Russian languages; knowledge of the technical English language; Excellent communication skills; Sense of responsibility; Ability to work under pressure;  Possession of a driving license B.",System Administrator,Administrative Assistant,Java Developer
"Higher education in the relevant field; Strong educational and community background, work experience is an asset; Knowledge of tax and customs legislation is a plus; Excellent computer skills: MS Office, Internet Explorer, E-mail; Excellent knowledge of Armenian, English languages; good knowledge of Russian and of other foreign languages is a plus; Knowledge of legal terminology in English as well as experience in drafting legal documents in English (or authentic bilingual Contracts); Experience in working with foreign companies is an asset; High sense of responsibility, punctuality, communication skills, ability to work under pressure; Team player and time management skills, high efficiency of work; License of attorney at law is a plus. For the chosen candidate it might be necessary to obtain a license within the nearest possible term (1-2 years of employment).",Lawyer,Administrative Assistant,Sales Manager
"University degree in Accounting, Finance or other related fields; Knowledge of accounting software 1C; Good knowledge of accounting standards; Highly proficient in MS Office applications; At least 2 years of work experience in the accounting sphere.",Accountant,Chief Accountant,Software Developer
"Higher education, preferably in Marketing, Economics or in a related field; Related sales experience; Excellent organizational, analytical and problem solving skills; Strong communication and presentation skills; Good management skills and market researching tactics; Strong understanding of customer and market requirements; Ability to work in a team and under pressure; High sense of responsibility and ability to sell; Good knowledge of Armenian, Russian and English languages, knowledge of other languages will be an asset; Good computer and interpersonal skills.",Sales Manager,Marketing Specialist,Marketing Manager
